Job Title,Department,Service Area,Annual Salary
Battalion Chief II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,139022
Battalion Chief II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,139022
"Director, Facilities & Fleet",Operation Services,Information & Employee Svcs,137681.68
"Director, FP&A",Utility Financial Operations,Utility Services,137217.76
Battalion Chief I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,136656
Battalion Chief I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,136656
Battalion Chief I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,136656
Battalion Chief I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,136656
Battalion Chief I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,136656
"Deputy Director, Utilities",Ut Water UTL Engineering Div,Utility Services,135391.11
"Sr Manager, Emergency Comms",Police Information Services,Police Services,135010
"Director, City Give",Finance Administration,Financial Services,135000.06
"Deputy Director, PDT",PDT Administration,"Planning, Dev & Transportation",134186.87
"Deputy Director, Utilities",Utilities Customer Connections,Utility Services,134154.64
Battalion Chief II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,133484
"Director, Accounting",Accounting and Treasury,Financial Services,133054.26
"Director, Human Resources",Human Resources,Information & Employee Svcs,132999.88
"Director, Elec Engineering",L&P Operations & Technology,Utility Services,132189.43
"Sr Manager, Elec Engr",L&P Operations & Technology,Utility Services,131475.83
"Deputy Dir, Community Services",Natural Areas,Community Services,131468.42
Battalion Chief I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,131092
"Director, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",129599.87
"Dir, Transportation Operations",Streets,"Planning, Dev & Transportation",129122.26
"Dir, Economic Sustainability",Economic Health Office,Sustainability Services,128511.54
Assistant City Attorney II,City Attorney's Office,Legal Services,127402.03
Employee & Labor Relations Mgr,Poudre Fire Authority,Poudre Fire Authority,126455.16
Sr Assistant City Attorney,City Attorney's Office,Legal Services,125900.98
"Director, Civil Engineering",Ut Water UTL Engineering Div,Utility Services,125708.41
"Dir, Electric Distribution",L&P Electric Field Services,Utility Services,125609.38
"Director, Purchasing",Purchasing,Financial Services,125201.81
"Architect, IT Security",Information Technology,Information & Employee Svcs,124467.21
"Director, Civil Engineering",Ut Water Systems Engr Div,Utility Services,123599.88
"Sr Manager, Network Engineerng",Broadband,Utility Services,123188
IT Manager,Poudre Fire Authority,Poudre Fire Authority,123121.7
"Sr Manager, Compensation",Human Resources,Information & Employee Svcs,122761.53
"Sr Administrator, Database",Information Technology,Information & Employee Svcs,122731.21
"Director, Cultural Services",Cultural Services,Community Services,122719.96
"Sr Manager, Facilities & Fleet",Operation Services,Information & Employee Svcs,122487.6
"Deputy Director, IES",City Manager's Office,Executive Services,121797
"Director, FP&A",Finance Administration,Financial Services,121680
"Director, Park Planning",Park Planning & Development,Community Services,120224.47
Assistant City Attorney II,City Attorney's Office,Legal Services,120000
Electrical Engineer III,L&P Electrical Engineering,Utility Services,119588.53
"Dir, Environ Sustainability",Environmental Services,Sustainability Services,119262.07
"Director, Water Field Ops",Ut Distribution System Div,Utility Services,118503.12
Police Sergeant,Investigations,Police Services,118263.08
Police Sergeant,Special Operations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Police Administration,Police Services,118263
Police Sergeant,Police Administration,Police Services,118263
Police Sergeant,Investigations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Investigations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Special Operations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Special Operations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Special Operations,Police Services,118263
Police Sergeant,Investigations,Police Services,118263
Police Sergeant,Special Operations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Police Administration,Police Services,118263
Police Sergeant,Investigations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Investigations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Special Operations,Police Services,118263
Police Sergeant,Patrol,Police Services,118263
Police Sergeant,Special Operations,Police Services,118263
"Manager, Elec Distr Hi Voltage",L&P Electric Field Services,Utility Services,118258.27
"Sr Manager, Benefits",Human Resources,Information & Employee Svcs,118063.61
"Director, Plant Operations",Ut Wtr Reclama & Biosolids Div,Utility Services,118022.65
"Dir, Social Sustainability",Social Sustainability,Sustainability Services,117624.46
"Director, Plant Operations",Ut Water Production Div,Utility Services,116846.59
"Sr Manager, Apps Software",Information Technology,Information & Employee Svcs,116702.47
"Sr Manager, Mechanical Engr",Utilities Customer Connections,Utility Services,116678.69
"Sr Manager, Water Engineering",Ut Water Resources Div,Utility Services,116658.23
"Director, Budget",Budget,Financial Services,116298.31
"Director, Parks",Parks,Community Services,115545.62
"Director, Sciences",Ut Water Quality Services Div,Utility Services,114922.23
"Manager, Elec Distr Hi Voltage",L&P Electric Field Services,Utility Services,114856.07
"Director, Communications",Comm. & Public Involvement,Information & Employee Svcs,114445.16
"Sr Manager, Civil Engineering",Streets,"Planning, Dev & Transportation",113872.88
City Clerk,City Clerk's Office,Executive Services,113353.2
Captain I - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Captain II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Captain II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Captain II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Captain II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Captain II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Training Captain - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Training Captain - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Training Captain - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,113100
Assistant City Attorney II,City Attorney's Office,Legal Services,112999.85
"Manager, Apps Software Dev",Information Technology,Information & Employee Svcs,112658.18
"Manager, Civil Engineering",Engineering,"Planning, Dev & Transportation",112476
"Sr Manager, Sciences",Ut Enviro Regulatory Affairs,Utility Services,112330.56
"Sr Analyst, Apps Software Dev",Information Technology,Information & Employee Svcs,112308.52
"Manager, Technical Proj Mgmt",L&P Electrical Engineering,Utility Services,112153.21
Substation Elec/Comm Spec,L&P Operations & Technology,Utility Services,111963
"Manager, Applications Software",Information Technology,Information & Employee Svcs,111404.8
"Sr Engineer, Network",Broadband,Utility Services,111000
"Manager, Systems Engineering",Information Technology,Information & Employee Svcs,110934.96
"Sr Manager, Econ Sustainabilty",Economic Health Office,Sustainability Services,110727.5
Deputy Director,Library District,Library District,110457.2
"Manager, Systems Admin",Ut Process & Supervis Cntr Div,Utility Services,109962.7
"Manager, City Planning",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",109657.5
Civil Engineer III,Ut Water Resources Div,Utility Services,109557.14
"Manager, Civil Engineering",Streets,"Planning, Dev & Transportation",109348.02
"Sr Supervisor, Mechanical Engr",Utilities Customer Connections,Utility Services,109302.38
Lead Sr Facilities Project Mgr,Operation Services,Information & Employee Svcs,109200.23
"Manager, Client Services",Information Technology,Information & Employee Svcs,109176.7
Civil Engineer III,Engineering,"Planning, Dev & Transportation",109059.24
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,108317.44
"Architect, Technology",Information Technology,Information & Employee Svcs,108160
Civil Engineer III,Engineering,"Planning, Dev & Transportation",108149.96
"Sr Manager, Information Svcs",Police Information Services,Police Services,107892.84
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,107777.33
"Manager, Applications Software",Information Technology,Information & Employee Svcs,107672.48
"Manager, Traffic Engineering",Traffic,"Planning, Dev & Transportation",107555.86
Civil Engineer III,Ut Water UTL Engineering Div,Utility Services,107515.1
Assistant City Attorney II,City Attorney's Office,Legal Services,107431.89
"Manager, Elec Distr Hi Voltage",L&P Electric Field Services,Utility Services,107364.78
Civil Engineer III,Ut Water UTL Engineering Div,Utility Services,107349.83
"Sr Manager, Natural Areas",Natural Areas,Community Services,107273.01
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,107222.23
"Manager, Elec Distr Hi Voltage",L&P Electric Field Services,Utility Services,107101.63
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,106960
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,106702.24
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,106691.52
Civil Engineer III,Engineering,"Planning, Dev & Transportation",106567.38
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,106524.35
"Sr Analyst, Apps Software",Information Technology,Information & Employee Svcs,106281.34
"Sr Administrator, Systems",Ut Process & Supervis Cntr Div,Utility Services,106278.56
"Sr Manager, Bldg & Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",106089.9
Civil Engineer III,Ut Water Systems Engr Div,Utility Services,106080
"Sr Engineer, Network",Information Technology,Information & Employee Svcs,106015.96
"Sr Analyst, Apps Software",Information Technology,Information & Employee Svcs,105185.63
Electrical Engineer III,L&P Electrical Engineering,Utility Services,105165.55
"Sr Analyst, Systems",Information Technology,Information & Employee Svcs,105112.21
Sr Technical Project Manager,L&P Operations & Technology,Utility Services,105000.86
Assistant City Attorney II,City Attorney's Office,Legal Services,105000
Sr Technical Project Manager,L&P Electrical Engineering,Utility Services,104961.47
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Line Crew Chief,L&P Electric Field Services,Utility Services,104808
Captain I - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,104754
"Sr Manager, Env Sustain",Environmental Services,Sustainability Services,104712.48
"Manager, Civil Engineering",Engineering,"Planning, Dev & Transportation",104383.86
Electrical Engineer III,L&P Operations & Technology,Utility Services,103884.98
"Sr Manager, Transportation Pln",FC Moves,"Planning, Dev & Transportation",103553.53
"Sr Engineer, Network",Broadband,Utility Services,103405.93
"Sr Supervisor, Sciences",Ut Water Quality Services Div,Utility Services,103207.04
Police Corporal,Special Operations,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Investigations,Police Services,103055
Police Corporal,Police Administration,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Special Operations,Police Services,103055
Police Corporal,Investigations,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Special Operations,Police Services,103055
Police Corporal,Special Operations,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Special Operations,Police Services,103055
Police Corporal,Investigations,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Patrol,Police Services,103055
Police Corporal,Patrol,Police Services,103055
"Sr Manager, Accounting",Accounting and Treasury,Financial Services,102968.32
"Manager, Real Estate",Operation Services,Information & Employee Svcs,102866.4
Civil Engineer III,Engineering,"Planning, Dev & Transportation",102610.82
"Sr Analyst, Apps Software",L&P Operations & Technology,Utility Services,102527.5
"Manager, Water Field Ops",Ut Collection System Div,Utility Services,102422.46
Civil Engineer III,Ut Water UTL Engineering Div,Utility Services,102216.7
"Sr Manager, Bldg & Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",101920
"Analyst II, Bus Intelligence",Accounting and Treasury,Financial Services,101892.92
"Sr Supervisor, Electric Dist",L&P Operations & Technology,Utility Services,101859.68
"Manager, Applications Software",Information Technology,Information & Employee Svcs,101748.58
Civil Engineer III,Ut Distribution System Div,Utility Services,101454.96
"Sr Manager, Neighborhood Svcs",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",101119.59
Water Engineer II,Ut Water Resources Div,Utility Services,101109.37
"Sr Mgr, Safety & Risk Mgmt",Safety & Risk Management,Financial Services,101000
"Manager, Technical Proj Mgmt",Utilities Strategic Planning,Utility Services,100790.04
Finance And Budget Supervisor,Poudre Fire Authority,Poudre Fire Authority,100651.2
"Sr Supervisor, Electric Dist",L&P Electrical Engineering,Utility Services,100630.26
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,100542
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,100542
Captain I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,100542
"Sr Engineer, Systems",Information Technology,Information & Employee Svcs,100497.43
Civil Engineer II,Engineering,"Planning, Dev & Transportation",100470.51
Line Crew Chief,L&P Electric Field Services,Utility Services,100424
Line Crew Chief,L&P Electric Field Services,Utility Services,100424
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Firefighter 40 Hour (Special),Poudre Fire Authority,Poudre Fire Authority,100308
Police Corporal,Investigations,Police Services,100246
Police Corporal,Special Operations,Police Services,100246
"Manager, Talent Development",Human Resources,Information & Employee Svcs,100243.78
"Manager, Civil Engineering",Engineering,"Planning, Dev & Transportation",99978.47
"Sr Manager, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",99955.81
Police Psychologist,Police Administration,Police Services,99722.95
Assistant City Attorney II,City Attorney's Office,Legal Services,99566.88
Human Resources Manager,Library District,Library District,99494.98
Sr Technical Project Manager,L&P Electrical Engineering,Utility Services,99445.53
"Sr Manager, Sales Tax/Revenue",Sales Tax,Financial Services,99067.4
Assistant City Attorney II,City Attorney's Office,Legal Services,98932.31
"Manager, GIS",Information Technology,Information & Employee Svcs,98630.05
"Manager, Environ Planning",Natural Areas,Community Services,98523.09
Substation Specialist,L&P Operations & Technology,Utility Services,98443
Substation Specialist,L&P Operations & Technology,Utility Services,98443
"Manager, FP&A",Utility Financial Operations,Utility Services,98263.07
Civil Engineer III,Ut Water UTL Engineering Div,Utility Services,98250.48
"Manager, Water Field Ops",Ut Drainage System Div,Utility Services,98207.87
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,98197.81
Civil Engineer II,Ut Water UTL Engineering Div,Utility Services,98183.36
"Manager, Water Field Ops",Ut Distribution System Div,Utility Services,98036.07
"Sr Manager, Customer Support",Utilities Customer Connections,Utility Services,97877.56
Civil Engineer II,Engineering,"Planning, Dev & Transportation",97868.07
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,97811.38
"Lead Analyst, Utility Rate",Utility Financial Operations,Utility Services,97684.55
Mechanical Engineer III,Utilities Customer Connections,Utility Services,97511.2
"Sr Manager, Cultural Services",Cultural Services,Community Services,97397.64
"Manager, Marketing",Broadband,Utility Services,97344
Civil Engineer II,Engineering,"Planning, Dev & Transportation",97093.57
"Manager, Talent Acquisition",Human Resources,Information & Employee Svcs,96933.46
Civil Engineer II,Ut Enviro Regulatory Affairs,Utility Services,96904.44
Community Safety Spec-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,96850
Community Safety Spec-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,96850
Fire Inspect Coord - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,96850
Fire Inspect Coord - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,96850
Sr Project Manager,Broadband,Utility Services,96850
"Sr Analyst, IT Security",Information Technology,Information & Employee Svcs,96823.36
Mechanical Engineer III,Utilities Customer Connections,Utility Services,96617.38
Sr Project Manager,Operation Services,Information & Employee Svcs,96597.06
Electrical Engineer II,L&P Operations & Technology,Utility Services,96591.82
"Manager, Water Field Ops",Ut Water Meters Div,Utility Services,96555.66
Assistant City Attorney II,City Attorney's Office,Legal Services,96500.04
"Lead Analyst, Utility Rate",Utility Financial Operations,Utility Services,96200
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Lineworker,L&P Electric Field Services,Utility Services,96099
Electric Systems Operator,L&P Operations & Technology,Utility Services,96099
Information Technology Manager,Library District,Library District,95983.34
Water Engineer II,Ut Water Resources Div,Utility Services,95951.94
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,95939.99
"Manager, Historic Preservation",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",95733.47
"Lead Specialist, Security",City Manager's Office,Executive Services,95680
Sr Facilities Project Manager,Operation Services,Information & Employee Svcs,95253.51
"Lead Spc, Employee Relations",City Manager's Office,Executive Services,95108.91
"Sr Specialist, Sciences",Ut Enviro Regulatory Affairs,Utility Services,95026.96
Reliability Engineer III,Utilities Strategic Planning,Utility Services,95000
"Manager, FP&A",PDT Administration,"Planning, Dev & Transportation",94812.2
"Engineer II, Systems",Information Technology,Information & Employee Svcs,94735.44
"Sr Manager, Forestry",Parks,Community Services,94500.04
"Sr Manager, Cultural Services",Cultural Services,Community Services,94459.82
"Manager, Plant Operations",Ut Water Production Div,Utility Services,94205.68
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,94174.28
Civil Engineer II,Engineering,"Planning, Dev & Transportation",94170.38
"Engineer II, Systems",Information Technology,Information & Employee Svcs,94096.44
"Manager, Video Production",Comm. & Public Involvement,Information & Employee Svcs,93894.87
"Analyst II, Apps Software",Ut Process & Supervis Cntr Div,Utility Services,93783.56
"Manager, Transportation Plng",Transfort / Parking Services,"Planning, Dev & Transportation",93730
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Police Administration,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Police Administration,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Police Administration,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Police Administration,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
